,0
0,A Pretty Flower
1,A Pretty Flower
2,Acolyte's Mind-Sight Eye
3,Adventurer's Stone
4,Alchemist Charm
5,Alluring Peridot
6,Aluminum Coil Spring
7,Amber Amulet
8,Amber Charm
9,Amber Infused Velium Jewel
10,Amber Symbol
11,Amber Talisman
12,Amber Trinket
13,Amethyst Infused Velium Jewel
14,Anchor-Charm of the Tempest
15,Ancient Ishva Mal Worrystone
16,Animate Straw
17,Aragus Tactics
18,Archon's Charm
19,Arena Champion's Badge
20,Artisan Charm
21,Arx Medallion
22,Ascending Sun Charm of Brilliance
23,Ascending Sun Charm of Security
24,Ascending Sun Charm of Vigor
25,August Spitegem of Allure
26,August Spitegem of Courage
27,August Spitegem of Deftness
28,August Spitegem of Foresight
29,August Spitegem of Resilience
30,August Spitegem of Scholarship
31,August Spitegem of Stability
32,August Spitegem of Swiftness
33,August Spitegem of the Beneficent
34,August Spitegem of the Fulcrum
35,August Spitegem of the Resourceful
36,August Spitegem of the Sturdy
37,August Spitegem of the Valiant
38,August Spitegem of the Vengeful
39,August Sulstone of Allure
40,August Sulstone of Courage
41,August Sulstone of Deftness
42,August Sulstone of Foresight
43,August Sulstone of Resilience
44,August Sulstone of Scholarship
45,August Sulstone of Stability
46,August Sulstone of Swiftness
47,August Sulstone of the Beneficent
48,August Sulstone of the Fulcrum
49,August Sulstone of the Resourceful
50,August Sulstone of the Sturdy
51,August Sulstone of the Valiant
52,August Sulstone of the Vengeful
53,Auroral Crest of the Silverwing
54,Axenic's Tears
55,Azure Amulet
56,Azure Charm
57,Azure Symbol
58,Azure Talisman
59,Azure Trinket
60,Baker Charm
61,Bashka's Charm
62,Batskull Fetish
63,Battleworn Symbol of Rage
64,Bauble of Disturbing Visions
65,Bauble of Forced Loyalty
66,Bazu Charm
67,Beaming Demantoid Shard
68,Beaming Demantoid Stone
69,Bejeweled Bellikos Doll
70,Belchforth Pearl
71,Bent Hour Hand
72,Bentwing
73,Black Iron Spring
74,Blackburrow Trinket
75,Blazing Euphoria Assaulting Fire
76,Blazing Euphoria Assaulting Magic
77,Blazing Euphoria Attacker
78,Blazing Euphoria Casting Fire
79,Blazing Euphoria Casting Magic
80,Blazing Euphoria Defender
81,Blazing Euphoria Defending Fire
82,Blazing Euphoria Defending Magic
83,Blazing Euphoria Dorsal Defense
84,Blazing Euphoria Enhancement
85,Blazing Euphoria Protecting Fire
86,Blazing Euphoria Protecting Magic
87,Blazing Euphoria Soothing
88,Blazing Euphoria Ventral Defense
89,Blazing Euphoria Warding Fire
90,Blazing Euphoria Warding Magic
91,Bleak Stone Idol
92,Blessed Reviver's Charm
93,Blooddrinker's Vial
94,Bloodied Gnome Head
95,Bloody Sepulcher Trinket
96,Bloom of the Elddar
97,Blossoming Flower
98,Bolstering Spring
99,Boneburner's Remains
100,Borskar's Charm
101,Brand of the Vagarious Servant
102,Braxi-Bone Charm of the Wary
103,Brewer Charm
104,Brigandine Charm
105,Brilliant Demantoid Shard
106,Brilliant Demantoid Stone
107,Brilliant Radish of Lost Potential
108,Brilliant White Pearl
109,Broken Braxi Fingers
110,Broken Gearshard
111,Broken Skull Prayer Beads
112,Bundle of Tiger Whiskers
113,Burlwood Handled Icepick
114,Burned Remains of Shyleen
115,Burning Tree Leaf
116,Burnt Effigy of Tsaph Katta
117,Candles of Everburning
118,Captured Puresoul Charm
119,Carved Fox Ear
120,Carved Panther Fang
121,Carved Splitpaw Ritual Jade
122,Chainrender's Skullhead Charm
123,Chains of the Forsaken
124,Chalice of Grace
125,Charm of Bravery
126,Charm of Conservation
127,Charm of Darkness Past
128,Charm of Death's Embrace
129,Charm of Deception
130,Charm of Exotic Speech
131,Charm of Good Luck
132,Charm of Insight
133,Charm of Nimble Landings
134,Charm of Solitude
135,Charm of the Brotherhood
136,Charm of the Crystal Circle
137,Charm of the Elusive Eidolon
138,Charm of the Emerald Warrior
139,Charm of the Gatekeeper
140,Charm of the Lone Crusader
141,Charm of the Prophet
142,Charm the Herd
143,Charmed Incisor
144,Charming Lian
145,Charming Reese
146,Chattering Skull
147,Cherished Companion Shard
148,Chipped Lion Fang
149,Chiseled Jade Figurine
150,Chronicle of the Trials
151,Chunk of Glowing Health
152,Clay Doll
153,Clurg's Prized Stein
154,Coin of the Ancient Empires
155,Condensed Cleaning Residue
156,Conflagrant Celerity
157,Conflagrant Charm of Brilliance
158,Conflagrant Charm of Security
159,Conflagrant Charm of Vigor
160,Conflagrant Harmony
161,Conflagrant Ingenuity
162,Conflagrant Intensity
163,Conflagrant Proficiency
164,Conflagrant Resilience
165,Conflagrant Savviness
166,Corrupted Damascite Shard
167,Corrupted Iridium Shard
168,Corrupted Palladium Shard
169,Corrupted Rhodium Shard
170,Corrupted Stellite Shard
171,Corrupted Vitallium Shard
172,Countersprung Enhancificator
173,Courageous Diamondel
174,Courageous Hematite
175,Courageous Sardonyx
176,Cracked Eye Stone
177,Cracked Eye Stone
178,Crimson Amulet
179,Crimson Charm
180,Crimson Symbol
181,Crimson Talisman
182,Crimson Trinket
183,Crude Iron Figurine
184,Crushbone Mana Amulet
185,Crushbone Mana Charm
186,Crushbone Mana Crystal
187,Crushbone Mana Talisman
188,Crushbone Mana Trinket
189,Crushbone Mana Trinket
190,Crushbone Spirit Charm
191,Crystal Dewdrop
192,Crystal Doll
193,Crystal Powder Pouch
194,Crystallized Essence
195,Crystallized Memories
196,Curio of Battle
197,Cyclical Impetuator
198,Dark Nargilor Shard of Divination
199,Dark Reign War-Forged Pin
200,Dark Stone Idol
201,Darkboned Trinket
202,Darkened Blackburrow Trinket
203,Darkened Glowing Stone Tear
204,Darkened Resonating Stone Tear
205,Darkened Stone Tear
206,Darkened Veteran's Charm
207,Death Twist Doll
208,Deathmask Toadstool
209,Deathstalker's Ceramic Vane
210,Decomposed Skull
211,Defender's Battletested Pin
212,Deft Azure Cabochon
213,Deft Diamond
214,Deft Half-Ruby
215,Delegator's Trinket
216,Dense Gem of Collapsed Dreams
217,Depowered Jeweled Skull of Null
218,Depowered Skull of Null
219,Derakor's Dirge
220,Descending Moon Charm of Brilliance
221,Descending Moon Charm of Security
222,Descending Moon Charm of Vigor
223,Desire
224,Destructorizor Power Core
225,Diabolic Chime
226,Diary of Jealous Loathing
227,Dire Hairball
228,Discordling Honor Badge
229,Doalith's Shrunken Head
230,Drachnid Candle
231,Draconic Celerity
232,Draconic Harmony
233,Draconic Ingenuity
234,Draconic Intensity
235,Draconic Proficiency
236,Draconic Resilience
237,Draconic Savviness
238,Drakeling's Mark of Allegiance
239,Dread Knight's Charm
240,Dredge Sand Dollar
241,Dried Chips of Everliving Clay
242,Dried Frog Skin Totem
243,Dried Stenchmoss
244,Driz's Rage
245,Drop of Living Steel
246,Durus Faycite Shard: Anodyne Stare
247,Durus Faycite Shard: Ardent Cleansing
248,Durus Faycite Shard: Ardent Elixir
249,Durus Faycite Shard: Baffling Flash
250,Durus Faycite Shard: Befuddling Flash
251,Durus Faycite Shard: Bewilder
252,Durus Faycite Shard: Bewildering Flash
253,Durus Faycite Shard: Charge for Honor
254,Durus Faycite Shard: Charge for Power
255,Durus Faycite Shard: Cloud of Renewal
256,Durus Faycite Shard: Clutching Darkness
257,Durus Faycite Shard: Confound
258,Durus Faycite Shard: Confounding Flash
259,Durus Faycite Shard: Confrontation for Honor
260,Durus Faycite Shard: Confrontation for Power
261,Durus Faycite Shard: Constrict
262,Durus Faycite Shard: Daevan's Chant of Flame
263,Durus Faycite Shard: Deadening Wave
264,Durus Faycite Shard: Deceive
265,Durus Faycite Shard: Deceiving Flash
266,Durus Faycite Shard: Deceiving Stare
267,Durus Faycite Shard: Delude
268,Durus Faycite Shard: Deluding Flash
269,Durus Faycite Shard: Demand for Honor
270,Durus Faycite Shard: Demand for Power
271,Durus Faycite Shard: Devout Cleansing
272,Durus Faycite Shard: Devout Elixir
273,Durus Faycite Shard: Dirge of Salubra
274,Durus Faycite Shard: Drown
275,Durus Faycite Shard: Earnest Cleansing
276,Durus Faycite Shard: Earnest Elixir
277,Durus Faycite Shard: Edoth's Chant of Frost
278,Durus Faycite Shard: Ekron's Chant of Frost
279,Durus Faycite Shard: Ensorcelling Wave
280,Durus Faycite Shard: Eye of the Storm
281,Durus Faycite Shard: Fergar's Chant of Frost
282,Durus Faycite Shard: Gnawing Darkness
283,Durus Faycite Shard: Gorenaire's Chant of Frost
284,Durus Faycite Shard: Gosik's Chant of Flame
285,Durus Faycite Shard: Grasping Darkness
286,Durus Faycite Shard: Growl of the Leopard
287,Durus Faycite Shard: Growl of the Lion
288,Durus Faycite Shard: Growl of the Lioness
289,Durus Faycite Shard: Growl of the Sabretooth
290,Durus Faycite Shard: Growl of the Snow Leopard
291,Durus Faycite Shard: Growl of the Tiger
292,Durus Faycite Shard: Hiqork's Chant of Poison
293,Durus Faycite Shard: Horthin's Chant of Disease
294,Durus Faycite Shard: Hoshkar's Chant of Disease
295,Durus Faycite Shard: Impose for Honor
296,Durus Faycite Shard: Impose for Power
297,Durus Faycite Shard: Kalbrok's Chant of Frost
298,Durus Faycite Shard: Kildrukaun's Chant of Poison
299,Durus Faycite Shard: Kirchen's Chant of Frost
300,Durus Faycite Shard: Malvus's Chant of Poison
301,Durus Faycite Shard: Merciful Cleansing
302,Durus Faycite Shard: Merciful Elixir
303,Durus Faycite Shard: Mesmerizing Stare
304,Durus Faycite Shard: Mind Helix
305,Durus Faycite Shard: Mind Oscillate
306,Durus Faycite Shard: Mind Spiral
307,Durus Faycite Shard: Mind Squall
308,Durus Faycite Shard: Mind Storm
309,Durus Faycite Shard: Mind Twist
310,Durus Faycite Shard: Misleading Flash
311,Durus Faycite Shard: Mollified Mind
312,Durus Faycite Shard: Mystifying Flash
313,Durus Faycite Shard: Neutralizing Wave
314,Durus Faycite Shard: Nexona's Chant of Poison
315,Durus Faycite Shard: Nilsara's Chant of Flame
316,Durus Faycite Shard: Peaceful Wave
317,Durus Faycite Shard: Penumbra of Renewal
318,Durus Faycite Shard: Perplexing Wave
319,Durus Faycite Shard: Phantom of Renewal
320,Durus Faycite Shard: Protest for Honor
321,Durus Faycite Shard: Protest for Power
322,Durus Faycite Shard: Provocation for Honor
323,Durus Faycite Shard: Provocation for Power
324,Durus Faycite Shard: Quelling Wave
325,Durus Faycite Shard: Quiescent Mind
326,Durus Faycite Shard: Qunard's Chant of Flame
327,Durus Faycite Shard: Ragged Edge Discipline
328,Durus Faycite Shard: Refute for Honor
329,Durus Faycite Shard: Refute for Power
330,Durus Faycite Shard: Reverent Cleansing
331,Durus Faycite Shard: Reverent Elixir
332,Durus Faycite Shard: Savage Rage
333,Durus Faycite Shard: Sedative Stare
334,Durus Faycite Shard: Serene Mind
335,Durus Faycite Shard: Serene Wave
336,Durus Faycite Shard: Serisaria's Chant of Poison
337,Durus Faycite Shard: Severilous' Chant of Poison
338,Durus Faycite Shard: Shade of Renewal
339,Durus Faycite Shard: Shadow of Renewal
340,Durus Faycite Shard: Shear of Renewal
341,Durus Faycite Shard: Shiverback's Chant of Disease
342,Durus Faycite Shard: Siavonn's Chant of Disease
343,Durus Faycite Shard: Sincere Cleansing
344,Durus Faycite Shard: Sincere Elixir
345,Durus Faycite Shard: Slackening Wave
346,Durus Faycite Shard: Slaunk's Chant of Poison
347,Durus Faycite Shard: Smother
348,Durus Faycite Shard: Solemn Cleansing
349,Durus Faycite Shard: Solemn Elixir
350,Durus Faycite Shard: Sontalak's Chant of Flame
351,Durus Faycite Shard: Soporific Stare
352,Durus Faycite Shard: Sotor's Chant of Flame
353,Durus Faycite Shard: Spectre of Renewal
354,Durus Faycite Shard: Stifle
355,Durus Faycite Shard: Strangling Air
356,Durus Faycite Shard: Suffocation
357,Durus Faycite Shard: Talendor's Chant of Flame
358,Durus Faycite Shard: Talisman of the Lion
359,Durus Faycite Shard: Talisman of the Snow Leopard
360,Durus Faycite Shard: Talisman of the Tiger
361,Durus Faycite Shard: Tjudawos' Chant of Flame
362,Durus Faycite Shard: Tormenting Darkness
363,Durus Faycite Shard: Trakanon's Chant of Disease
364,Durus Faycite Shard: Transfixing Stare
365,Durus Faycite Shard: Trial for Honor
366,Durus Faycite Shard: Trial for Power
367,Durus Faycite Shard: Vyskudra's Chant of Disease
368,Durus Faycite Shard: Wasinai's Chant of Disease
369,Durus Faycite Shard: Wisp of Renewal
370,Durus Faycite Shard: Yelinak's Chant of Frost
