,0
0,*Mischievous Elixir
1,10 Dose Adrenaline Tap
2,10 Dose Ant's Potion
3,10 Dose Army Ant Potion
4,10 Dose Benefit Awareness I
5,10 Dose Benefit Awareness II
6,10 Dose Benefit Awareness III
7,10 Dose Benefit Awareness IV
8,10 Dose Blood of the Wolf
9,10 Dose Breathless Mist
10,10 Dose Cold Awareness I
11,10 Dose Cold Awareness II
12,10 Dose Cold Awareness III
13,10 Dose Cold Awareness IV
14,10 Dose Disease Awareness I
15,10 Dose Disease Awareness II
16,10 Dose Disease Awareness III
17,10 Dose Disease Awareness IV
18,10 Dose Elixir of Concentration
19,10 Dose Elixir of Divine Endurance
20,10 Dose Elixir of Greater Concentration
21,10 Dose Essence of Barbarian
22,10 Dose Essence of Concealment
23,10 Dose Essence of Dark Elf
24,10 Dose Essence of Dwarf
25,10 Dose Essence of Erudite
26,10 Dose Essence of Gnome
27,10 Dose Essence of Gukta
28,10 Dose Essence of Half Elf
29,10 Dose Essence of Halfling
30,10 Dose Essence of High Elf
31,10 Dose Essence of Human
32,10 Dose Essence of Iksar
33,10 Dose Essence of Ogre
34,10 Dose Essence of Troll
35,10 Dose Essence of Vah Shir
36,10 Dose Essence of Wood Elf
37,10 Dose Ethira's Poison Antidote
38,10 Dose Gate Potion
39,10 Dose Great Mystical Infusion
40,10 Dose Greater Potion of Cohesion
41,10 Dose Greater Potion of Negation
42,10 Dose Greater Potion of Purity
43,10 Dose Greater Potion of Vigor
44,10 Dose Heat Awareness I
45,10 Dose Heat Awareness II
46,10 Dose Heat Awareness III
47,10 Dose Heat Awareness IV
48,10 Dose Kilva's Blistering Flesh
49,10 Dose Kilva's Skin of Flame
50,10 Dose Kithar's Disease Treatment
51,10 Dose Magic Awareness I
52,10 Dose Magic Awareness II
53,10 Dose Magic Awareness III
54,10 Dose Magic Awareness IV
55,10 Dose Minor Potion of Purity
56,10 Dose Mist of the Wolf
57,10 Dose Mystical Aptitude Potion
58,10 Dose Mystical Infusion
59,10 Dose Poison Awareness I
60,10 Dose Poison Awareness II
61,10 Dose Poison Awareness III
62,10 Dose Poison Awareness IV
63,10 Dose Potion Skin of Ro
64,10 Dose Potion of Antiweight
65,10 Dose Potion of Aquatic Haunt
66,10 Dose Potion of Assailing
67,10 Dose Potion of Calimony
68,10 Dose Potion of Charming Deceit
69,10 Dose Potion of Cohesion
70,10 Dose Potion of Copal's Demise
71,10 Dose Potion of Dulsehound
72,10 Dose Potion of Fleeting Languor
73,10 Dose Potion of Gnomish Boils
74,10 Dose Potion of Gorging Toxin
75,10 Dose Potion of Graveyard Dust
76,10 Dose Potion of Gulon's Impunity
77,10 Dose Potion of Lesser Cohesion
78,10 Dose Potion of Lesser Vigor
79,10 Dose Potion of Negation
80,10 Dose Potion of Purity
81,10 Dose Potion of Rejuvenation
82,10 Dose Potion of Shadeweaver
83,10 Dose Potion of Shumar's Breath
84,10 Dose Potion of Soluan's Vigor
85,10 Dose Potion of Spirit Shield
86,10 Dose Potion of Spurn Affliction
87,10 Dose Potion of Stinging Wort
88,10 Dose Potion of Troll's Essence
89,10 Dose Potion of Twilight Mists
90,10 Dose Potion of Unlife Awareness
91,10 Dose Potion of Vampiric Spirit
92,10 Dose Potion of Vigor
93,10 Dose Potion of Vox's Vitality
94,10 Dose Potion of Wolves Blood
95,10 Dose Potion of Wrackbane
96,10 Dose Potion of the Bone Field
97,10 Dose Potion of the Frost
98,10 Dose Potion of the Swamp
99,10 Dose Serpent's Conviction
100,10 Dose Soul of the Incorporeal
101,10 Dose Spirit Shift
102,10 Dose Turtle's Drink
103,10 Dose Vial of Tamed Mercury
104,10 Dose Weightless Mist
105,10 Doses of Frosty Insurgency
106,10 Doses of Greater Rejuvenation
107,10 Doses of Hathcoat's Spirit
108,10 Doses of Lesser Rejuvenation
109,10 Doses of Undead's Recourse
110,10 Tray Specimen Kit
111,11lb Rainbow Trout
112,2 Knot Measuring String
113,3 Knot Measuring String
114,3lb Rainbow Trout
115,4 Knot Measuring String
116,5 Dose Adrenaline Tap
117,5 Dose Ant's Potion
118,5 Dose Army Ant Potion
119,5 Dose Benefit Awareness I
120,5 Dose Benefit Awareness II
121,5 Dose Benefit Awareness III
122,5 Dose Benefit Awareness IV
123,5 Dose Blood of the Wolf
124,5 Dose Breathless Mist
125,5 Dose Cloudy Potion
126,5 Dose Cold Awareness I
127,5 Dose Cold Awareness II
128,5 Dose Cold Awareness III
129,5 Dose Cold Awareness IV
130,5 Dose Disease Awareness I
131,5 Dose Disease Awareness II
132,5 Dose Disease Awareness III
133,5 Dose Disease Awareness IV
134,5 Dose Elixir of Concentration
135,5 Dose Elixir of Divine Endurance
136,5 Dose Elixir of Greater Concentration
137,5 Dose Essence of Barbarian
138,5 Dose Essence of Concealment
139,5 Dose Essence of Dark Elf
140,5 Dose Essence of Dwarf
141,5 Dose Essence of Erudite
142,5 Dose Essence of Gnome
143,5 Dose Essence of Gukta
144,5 Dose Essence of Half Elf
145,5 Dose Essence of Halfling
146,5 Dose Essence of High Elf
147,5 Dose Essence of Human
148,5 Dose Essence of Iksar
149,5 Dose Essence of Ogre
150,5 Dose Essence of Troll
151,5 Dose Essence of Vah Shir
152,5 Dose Essence of Wood Elf
153,5 Dose Ethira's Poison Antidote
154,5 Dose Gate Potion
155,5 Dose Great Mystical Infusion
